Date,True Values,Predicted Values
2019-09-06,6.17,6.2464485
2019-09-10,6.25,6.2534122
2019-09-11,6.24,6.274872
2019-09-12,6.19,6.2985325
2019-09-13,6.2,6.22416
2019-09-17,6.15,6.2267084
2019-09-18,6.11,6.209747
2019-09-19,6.05,6.1583104
2019-09-20,6.05,6.1455297
2019-09-23,6.07,6.13474
2019-09-24,6.07,6.122734
2019-09-25,6.06,6.114498
2019-09-26,6.19,6.160806
2019-09-27,6.09,6.209943
2019-09-30,6.1,6.1434946
2019-10-01,6.13,6.1629977
2019-10-02,6.1,6.166169
2019-10-03,6.12,6.152169
2019-10-04,6.08,6.157071
2019-10-07,6.08,6.1336875
2019-10-08,6.07,6.139365
2019-10-09,6.05,6.1262293
2019-10-10,6.04,6.1119356
2019-10-11,6.08,6.1062145
2019-10-14,6.15,6.1716065
2019-10-15,6.1,6.182241
2019-10-16,6.06,6.1486177
2019-10-17,6.08,6.123592
2019-10-18,6.19,6.166123
2019-10-21,6.09,6.179381
2019-10-22,6.1,6.13962
2019-10-23,6.06,6.144582
2019-10-24,6.08,6.135019
2019-10-25,6.06,6.1277943
2019-10-29,6.06,6.123174
2019-10-30,5.95,6.086214
2019-10-31,6.05,6.0523767
2019-11-01,6.03,6.110375
2019-11-04,6.09,6.1113153
2019-11-05,6.02,6.1329713
2019-11-06,6.07,6.0952287
2019-11-07,6.22,6.175706
2019-11-08,6.19,6.2377567
2019-11-11,6.15,6.215521
2019-11-12,6.06,6.175967
2019-11-13,6.07,6.119398
2019-11-14,6.05,6.118843
2019-11-15,6.06,6.1117263
2019-11-18,6.14,6.134759
2019-11-19,6.07,6.174962
2019-11-20,6.06,6.117833
2019-11-21,6.07,6.115343
2019-11-22,6.06,6.115785
2019-11-25,6.05,6.1094418
2019-11-26,5.97,6.0989943
2019-11-27,6.03,6.0699835
2019-11-28,6.01,6.081686
2019-11-29,6.04,6.0717707
2019-12-02,6.01,6.089107
2019-12-03,6.0,6.0626965
2019-12-04,6.06,6.0749416
2019-12-05,6.0,6.0719624
2019-12-06,5.98,6.070134
2019-12-09,5.96,6.056986
